"Station Name","CALGARY INTL A"
"Province","ALBERTA"
"Latitude","51.12"
"Longitude","-114.01"
"Elevation","1099.10"
"Climate Identifier","3031092"
"WMO Identifier","71877"
"TC Identifier","YYC"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2013-01-01","2013","01","01","‡","1.2","","-8.9","","-3.9","","21.9","","0.0","","0.0","T","0.0","","0.0","T","4","","33","","48",""
"2013-01-02","2013","01","02","‡","5.8","","-10.9","","-2.6","","20.6","","0.0","","0.0","","0.0","","0.0","","3","","29","","41",""
"2013-01-03","2013","01","03","‡","8.8","","-8.8","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","2","","28","","52",""
"2013-01-04","2013","01","04","‡","2.9","","-11.2","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","2","","26","","63",""
"2013-01-05","2013","01","05","‡","4.8","","-10.0","","-2.6","","20.6","","0.0","","0.0","","0.0","","0.0","","1","","27","","41",""
"2013-01-06","2013","01","06","‡","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-07","2013","01","07","‡","2.4","","-9.9","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","1","","26","","50",""
"2013-01-08","2013","01","08","‡","1.3","","-3.6","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","1","","27","","59",""
"2013-01-09","2013","01","09","‡","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-10","2013","01","10","‡","-5.7","","-14.1","","-9.9","","27.9","","0.0","","0.0","","21.0","","2.4","","9","","36","","50",""
"2013-01-11","2013","01","11","‡","-11.6","","-19.8","","-15.7","","33.7","","0.0","","0.0","","0.0","T","0.0","T","21","","34","","35",""
"2013-01-12","2013","01","12","‡","-6.7","","-18.8","","-12.8","","30.8","","0.0","","0.0","","0.0","T","0.0","T","14","","33","","43",""
"2013-01-13","2013","01","13","‡","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-14","2013","01","14","‡","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-15","2013","01","15","‡","8.0","","1.3","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","8","","26","","63",""
"2013-01-16","2013","01","16","‡","7.3","","-4.6","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","8","","34","","37",""
"2013-01-17","2013","01","17","‡","9.4","","-6.4","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","5","","26","","65",""
"2013-01-18","2013","01","18","‡","7.9","","-2.8","","2.6","","15.4","","0.0","","0.0","","0.0","","0.0","","2","","27","","59",""
"2013-01-19","2013","01","19","‡","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-20","2013","01","20","‡","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-21","2013","01","21","‡","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-22","2013","01","22","‡","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-23","2013","01","23","‡","","","","","","","","","","","","","","","","","","","","","",""
